timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-10-21T19:19:00,partial-model-merging,93802ef7-caf0-44aa-abcc-c6ff5e07b883,5363.79324555397,0.1092722888288838,0.0203722037420922,0.0,162.749,23.52174139022827,0,0.2278688315862079,0.0348049396370704,0.2626737712232784,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T22:04:03,partial-model-merging,4a2402ca-d508-4b9a-861b-6f3d9a64b7d8,0.0568468570709228,2.6319656265282004e-07,0.0046299228526293,0.0,27.366,23.52174139022827,0,3.756299567222595e-07,3.206572460629786e-07,6.962872027852381e-07,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T22:28:23,partial-model-merging,75bfc3b0-175c-4bd2-b857-642b66430a03,530.8504047393799,0.0099934882566442,0.0188254321131215,0.0,155.27700000000002,23.52174139022827,0,0.0229783249356493,0.0034594746851026,0.026437799620752,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T22:37:37,partial-model-merging,ad33d1ff-df6b-473b-854b-de835876c465,530.285129070282,0.0101481911894192,0.019137235108236,0.0,158.406,23.52174139022827,0,0.0233916477703351,0.0034554188683402,0.0268470666386753,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T22:40:19,partial-model-merging,f617036e-864e-4bc9-b1a0-0004d2f6a7be,6.393808126449585,9.158675454106078e-05,0.0143242888635004,0.0,113.023,23.52174139022827,0,0.0002005557444524,4.17372569789012e-05,0.0002422930014313,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T22:40:28,partial-model-merging,2baa4ad3-e439-4137-9d3d-79657b9e0518,4.150995016098023,5.937186576942118e-05,0.0143030443397716,0.0,112.871,23.52174139022827,0,0.0001299822155604,2.708621240102189e-05,0.0001570684279614,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-21T23:24:30,partial-model-merging,785b022d-b160-46bf-98f3-4c4d4059946c,2635.6082344055176,0.0440568859788102,0.0167160222842252,0.0,167.996,23.52174139022827,0,0.1128296386087908,0.0171316769629206,0.1299613155717115,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-22T00:05:17,partial-model-merging,8ecdded2-b4cb-4426-b01a-bbe1617ba758,0.0258355140686035,8.111305386148747e-08,0.0031395951188004,0.0,26.712,23.52174139022827,0,1.4325364589691162e-07,1.2010042508194374e-07,2.6335407097885534e-07,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-22T00:05:22,partial-model-merging,6202bf59-5ac5-418d-b8fa-3ec9d8c35e1b,0.0184571743011474,4.972318260316026e-08,0.0026939758920773,0.0,26.782,23.52174139022827,0,8.934313204553393e-08,7.209577251018117e-08,1.614389045557151e-07,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
2023-10-22T00:50:13,partial-model-merging,fb5f579f-0abd-4f52-915d-ad6865d6a3f6,2684.6561739444733,0.0401890238902927,0.014969896063541105,0.0,158.249,23.52174139022827,0,0.11305044673133609,0.017433397068315478,0.1304838437996516,Germany,DEU,free and hanseatic city of hamburg,,,Linux-6.2.0-34-generic-x86_64-with-glibc2.35,3.10.12,6,Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,2,1 x NVIDIA GeForce GTX 1060 6GB1 x NVIDIA GeForce RTX 3060,9.996,53.5544,62.72464370727539,machine,N
