timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-10-16T17:21:20,partial-model-merging,,0.0077021121978759,8.76598160038659e-08,1.1381269676653113e-05,42.5,69.33239851213222,2.719644069671632,9.057306581073337e-08,1.272223237869241e-07,4.6914530517483415e-09,2.2248684264940585e-07,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:21:49,partial-model-merging,,0.0056719779968261,6.30909165774552e-08,1.112326539573294e-05,42.5,70.26908045743222,2.719644069671632,6.661183304256865e-08,9.027785008441924e-08,3.239546765030355e-09,1.6012922989201829e-07,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:21:59,partial-model-merging,,0.0060558319091796,2.953143886965475e-08,4.8765288258562365e-06,42.5,0.0,2.719644069671632,7.111248042848378e-08,0.0,3.8404101036348955e-09,7.495289053211865e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:22:06,partial-model-merging,,0.0060827732086181,2.966412791436577e-08,4.876744027269863e-06,42.5,0.0,2.719644069671632,7.131795088450114e-08,0.0,3.971713872772398e-09,7.528966475727353e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:22:12,partial-model-merging,,0.0065009593963623,3.179643492730552e-08,4.891037305216461e-06,42.5,0.0,2.719644069671632,7.63956043455336e-08,0.0,4.306007145089553e-09,8.070161149062314e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:23:53,partial-model-merging,,0.0079085826873779,3.873395008595109e-08,4.897710704570407e-06,42.5,0.0,2.719644069671632,9.297397401597768e-08,0.0,5.3355439686697534e-09,9.83095179846474e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T17:23:55,partial-model-merging,,0.0062367916107177,3.0496314789859174e-08,4.889744069282675e-06,42.5,0.0,2.719644069671632,7.32825862036811e-08,0.0,4.119227983778729e-09,7.740181418745983e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T18:34:39,partial-model-merging,,4240.6012570858,0.1436016589500535,3.3863513743505925e-05,42.5,229.8796580534237,2.719644069671632,0.0500625337825881,0.3112054939641959,0.0032031878624891,0.3644712156092728,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:12:08,partial-model-merging,,0.0059752464294433,2.9182381729827405e-08,4.88387919635073e-06,42.5,0.0,2.719644069671632,7.01442360877991e-08,0.0,3.9227226173466085e-09,7.40669587051457e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:12:09,partial-model-merging,,0.0057747364044189,2.8225917244791523e-08,4.887827818979318e-06,42.5,0.0,2.719644069671632,6.78418411148919e-08,0.0,3.7975427551373294e-09,7.163938387002924e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:12:12,partial-model-merging,,0.006523847579956,3.1886306605627965e-08,4.887653522684346e-06,42.5,0.0,2.719644069671632,7.662640677558052e-08,0.0,4.303305421444748e-09,8.092971219702527e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:16:24,partial-model-merging,,0.0073857307434082,3.61272170689192e-08,4.891488509943705e-06,42.5,0.0,2.719644069671632,8.675919638739696e-08,0.0,4.934247949961446e-09,9.169344433735838e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:16:26,partial-model-merging,,0.0056805610656738,2.7743757186726857e-08,4.883981857773743e-06,42.5,0.0,2.7196440696716317,6.67272342575921e-08,0.0,3.6883931198872236e-09,7.041562737747933e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
2023-10-16T21:16:29,partial-model-merging,None,0.006632089614868164,3.2427288132119864e-08,4.889452648441704e-06,42.5,0.0,2.7196440696716313,7.791552278730605e-08,0.0,4.387238969343344e-09,8.23027617566494e-08,USA,USA,Iowa,gcp,us-central1,Linux-6.2.0-1013-gcp-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla V100-SXM2-16GB,,,7.252384185791016,machine,Y,1.0
